name,url,slogan,rate
The McGraw Agency,/profile/mcgraw-agency,Public Relations, Undisclosed 
"In The Lights PR, Inc.",/profile/lights-pr,BRIGHT IDEAS BRING YOU CENTER STAGE, Undisclosed 
Crenshaw Communications,/profile/crenshaw-communications,PR that builds brands and business.," $100 - $149 / hr
"
Co-Communications,/profile/co-communications,Make Yourself Perfectly Clear," $100 - $149 / hr
"
Shamin Abas | Ultra-Luxury Brand Marketing & Business Development,/profile/shamin-abas-ultra-luxury-brand-marketing-business-development,Ultra-Luxury Brand Marketing/Bussiness Development, Undisclosed 
Empkt PR,/profile/empkt-pr,Public Relations & Communications New York, Undisclosed 
Young & Rubicam Group,/profile/young-rubicam-group,Brave and Fearless Results for our Clients," $100 - $149 / hr
"
Publicis,/profile/publicis,Lead the change," $50 - $99 / hr
"
Munch Ado,/profile/munch-ado,All Your Digital Needs in One Place, Undisclosed 
Mount & Nadler,/profile/mount-nadler,"The Right Message, Right Media, Right Timing.", Undisclosed 
CW&Co.,/profile/cwco,"Public Relations, Branding & Events", Undisclosed 
North 6th Agency,/profile/north-6th-agency,A full service brand communications agency.," $100 - $149 / hr
"
JConnelly,/profile/jconnelly,We hustle harder.," $200 - $300 / hr
"
Cercone Brown Company,/profile/cercone-brown-company,We Work with Brands on a Mission, Undisclosed 
"Geto & de Milly, Inc.",/profile/geto-de-milly,When just being heard is not enough., Undisclosed 
Stanton,/profile/stanton,ELEVATE YOUR COMMUNICATIONS, Undisclosed 
Stuntman PR,/profile/stuntman-pr,A full-service New York-based PR," $100 - $149 / hr
"
Allidura Consumer,/profile/allidura-consumer,A Syneos Health company, Undisclosed 
The Thomas Collective,/profile/thomas-collective,INTEGRATED COMMUNICATIONS, Undisclosed 
Caliber Corporate Advisers,/profile/caliber-corporate-advisers,Financial Services Marketing, Undisclosed 
Merkle,/profile/merkle,Truth in data. Proof in performance.," $150 - $199 / hr
"
Mother,/profile/mother,London Advertising Agency," $150 - $199 / hr
"
Sizmek,/profile/sizmek,Impressions that Inspire.," $150 - $199 / hr
"
TBWA,/profile/tbwa,The Disruption Company," $100 - $149 / hr
"
View Maniac,/profile/view-maniac,Marketing & Branding firm., Undisclosed 
The OutCast Agency,/profile/outcast-agency,Communications + Marketing," $100 - $149 / hr
"
Eidolon Communications,/profile/eidolon-communications,Partnership. Precision. Possibilities., Undisclosed 
Didit,/profile/didit,MARKETING IS EVERYTHING," $100 - $149 / hr
"
space150,/profile/space150,An Independent Agency of Experts," $100 - $149 / hr
"
INK & ROSES,/profile/ink-roses,WE MAKE GREAT IDEAS BLOOM, Undisclosed 
